record_id,fault_type,Va_rms,Vb_rms,Vc_rms,Ia_rms,Ib_rms,Ic_rms,frequency_hz,voltage_unbalance_pct,current_unbalance_pct,zero_seq_voltage,zero_seq_current,fault_resistance_ohm,fault_location_pct,duration_ms
FR-00178,LL,231.05,130.65,80.06,100.41,251.35,266.02,49.706,56.91,51.24,147.25,205.93,11.08,67.1,111.4
FR-00175,LL,232.0,146.98,90.89,100.41,293.13,335.89,49.823,48.13,58.7,156.62,243.15,2.04,40.3,99.4
FR-00209,LLG,61.63,230.59,43.35,756.66,100.6,648.74,49.759,106.15,79.96,111.86,502.0,13.09,59.9,169.4
FR-00358,LLLG,37.6,33.98,33.74,1377.17,1255.2,1278.81,50.023,7.1,5.63,35.1,1303.73,4.74,4.5,138.3
FR-00004,NONE,231.17,229.84,230.58,99.9,100.21,99.92,50.0,0.3,0.19,230.53,100.01,,,0.0
FR-00348,LLLG,33.56,31.34,16.95,1264.64,1068.04,925.23,50.16,37.89,16.45,27.28,1085.97,4.98,19.9,122.8
FR-00029,NONE,229.95,230.03,230.31,99.93,99.76,100.01,49.958,0.09,0.14,230.1,99.9,,,0.0
FR-00321,LLLG,11.79,29.84,30.17,931.53,990.37,1142.68,49.562,50.75,11.86,23.93,1021.53,12.05,97.5,93.6
FR-00265,LLL,30.02,42.79,61.75,858.47,1164.46,997.16,49.714,37.66,15.67,44.85,1006.7,4.28,6.2,22.8
FR-00102,LG,231.25,68.9,230.65,100.64,422.47,100.06,49.93,61.06,103.38,176.93,207.72,0.91,39.5,57.0
FR-00085,LG,231.93,101.84,232.96,100.8,688.28,101.43,50.198,46.09,131.87,188.91,296.84,12.93,2.7,53.8
FR-00082,LG,106.2,229.91,229.42,783.42,100.47,99.46,49.346,43.67,139.0,188.51,327.78,1.1,89.7,145.4
FR-00115,LG,231.64,230.33,36.42,100.78,100.18,634.58,49.549,78.08,127.85,166.13,278.51,8.65,20.9,35.8
FR-00112,LG,232.47,229.55,53.86,100.57,100.42,652.19,49.335,68.68,129.33,171.96,284.39,3.4,94.6,104.5
FR-00031,NONE,230.48,230.08,230.17,100.16,99.69,100.14,49.991,0.1,0.31,230.24,99.99,,,0.0
FR-00347,LLLG,22.87,42.2,15.3,1211.02,811.94,982.9,49.613,57.53,20.87,26.79,1001.95,3.72,12.6,120.5
FR-00089,LG,233.06,231.56,77.18,101.39,100.92,385.6,49.483,57.26,96.77,180.6,195.97,13.18,22.6,24.4
FR-00194,LLG,231.74,72.36,78.38,100.31,613.7,683.15,49.54,81.77,78.46,127.49,465.72,3.41,86.4,137.4
FR-00257,LLL,44.97,41.17,61.83,1137.33,767.46,1014.69,49.888,25.35,21.14,49.33,973.16,10.17,84.2,119.2
FR-00066,LG,82.72,232.29,232.42,569.31,100.4,101.02,50.269,54.67,121.6,182.48,256.91,14.65,92.2,144.3
FR-00126,LL,122.89,230.17,119.27,563.05,100.24,595.22,49.611,46.19,76.11,157.44,419.5,8.22,28.4,167.2
FR-00246,LLL,54.88,53.14,28.38,721.89,974.65,1010.96,50.185,37.57,20.01,45.47,902.5,4.24,28.9,77.8
FR-00206,LLG,35.98,53.44,229.28,409.02,859.47,100.22,49.726,115.83,88.38,106.23,456.24,7.39,33.0,69.2
FR-00090,LG,230.9,234.14,64.02,100.12,100.94,674.63,50.642,63.7,131.12,176.35,291.9,9.61,27.9,21.0
FR-00239,LLG,65.69,230.55,41.57,436.37,100.21,488.68,49.997,104.75,70.68,112.6,341.75,1.32,82.0,125.7
FR-00306,LLLG,17.96,15.67,17.91,751.16,1390.99,882.26,50.459,8.78,37.98,17.18,1008.14,6.14,3.1,113.5
FR-00119,LG,76.28,229.85,230.11,744.77,100.22,99.89,49.468,57.33,136.46,178.75,314.96,12.07,17.4,96.3
FR-00318,LLLG,39.25,29.19,22.15,777.31,1266.23,1129.35,50.017,30.0,26.5,30.2,1057.63,3.84,92.0,177.2
FR-00161,LL,137.04,229.87,76.43,385.49,100.31,367.78,49.693,55.55,64.75,147.78,284.52,12.29,8.0,173.8
FR-00285,LLL,30.43,40.07,63.39,792.92,1017.29,760.1,50.476,42.03,18.74,44.63,856.77,14.4,49.5,177.5
FR-00282,LLL,56.58,68.47,47.69,1016.67,778.56,920.09,50.259,18.92,13.98,57.58,905.11,8.14,62.1,86.9
FR-00310,LLLG,34.31,23.18,34.13,1144.97,1181.27,1154.97,49.614,24.1,1.8,30.54,1160.4,3.33,80.2,20.3
FR-00148,LL,71.83,229.2,127.26,468.81,100.57,489.1,49.405,60.54,71.5,142.76,352.83,4.29,16.8,80.1
FR-00091,LG,230.77,230.75,100.66,100.25,100.4,400.35,49.989,46.29,99.84,187.39,200.34,11.58,17.3,131.1
FR-00275,LLL,66.17,38.68,29.58,1069.87,1154.29,685.85,49.932,47.66,29.29,44.81,970.0,10.22,36.9,133.1
FR-00151,LL,103.49,100.74,231.15,331.18,602.26,100.26,49.657,59.27,74.79,145.13,344.56,14.03,48.3,50.8
FR-00304,LLLG,12.26,31.33,12.59,770.34,966.51,738.94,50.388,67.31,17.12,18.72,825.26,12.62,63.8,45.0
FR-00139,LL,132.76,232.66,111.88,291.26,100.59,408.06,50.315,46.24,62.27,159.1,266.64,2.24,56.9,140.0
FR-00130,LL,87.87,231.28,147.98,385.58,99.9,557.39,50.522,48.53,71.26,155.71,347.62,5.87,60.5,177.6
FR-00140,LL,81.93,230.92,82.85,313.52,100.23,359.2,50.434,75.07,61.1,131.9,257.65,3.37,37.0,28.2
FR-00345,LLLG,33.5,24.18,18.58,1172.87,1124.64,1234.23,49.254,31.79,4.84,25.42,1177.25,14.39,54.6,122.7
FR-00217,LLG,81.57,48.98,230.34,566.66,791.98,100.31,49.8,91.48,79.37,120.29,486.32,2.56,43.6,85.8
FR-00259,LLL,67.57,52.18,65.1,944.05,659.24,992.58,49.749,15.31,23.81,61.62,865.29,11.87,97.9,148.5
FR-00155,LL,96.28,77.01,230.58,527.09,533.03,100.16,49.411,71.28,74.1,134.62,386.76,11.97,33.7,139.5
FR-00293,LLL,32.74,54.3,54.03,1144.02,854.07,1146.07,49.378,30.37,18.51,47.02,1048.05,13.99,58.7,124.2
FR-00267,LLL,49.38,28.57,55.8,1189.77,724.69,753.96,49.967,35.91,33.76,44.58,889.47,2.64,44.2,91.7
FR-00185,LLG,232.78,72.15,91.04,100.87,634.59,892.83,49.789,76.37,81.42,131.99,542.76,11.81,54.0,75.2
FR-00016,NONE,230.91,230.57,229.63,100.12,99.7,100.28,50.056,0.32,0.34,230.37,100.03,,,0.0
FR-00356,LLLG,28.96,25.23,38.14,767.12,1109.0,867.67,49.683,23.93,21.26,30.78,914.6,1.79,97.2,169.8
FR-00330,LLLG,12.28,19.96,44.58,1391.03,959.22,1188.13,50.099,74.1,18.67,25.61,1179.46,13.28,90.1,29.1
FR-00081,LG,74.3,232.45,231.59,654.62,100.5,100.93,50.097,58.6,129.41,179.44,285.35,12.15,94.7,66.9
FR-00038,NONE,230.04,229.81,230.17,100.12,99.88,99.99,49.993,0.08,0.12,230.01,99.99,,,0.0
FR-00003,NONE,229.43,230.27,229.88,99.91,100.41,100.18,49.972,0.19,0.25,229.86,100.17,,,0.0
FR-00063,LG,231.15,232.47,84.86,100.41,100.76,495.41,50.269,53.59,113.36,182.83,232.19,4.82,85.7,58.5
FR-00284,LLL,30.42,31.46,56.51,883.17,668.05,968.07,49.821,43.19,20.45,39.47,839.76,7.69,70.3,65.2
FR-00075,LG,227.91,44.47,232.52,99.28,555.94,101.67,51.497,73.58,120.35,168.3,252.3,2.0,21.9,176.2
FR-00099,LG,231.54,231.46,65.25,100.66,100.76,597.62,50.016,62.95,124.38,176.08,266.35,14.16,10.3,28.8
FR-00180,LL,231.01,85.14,71.17,100.4,261.09,567.81,50.311,78.93,83.3,129.11,309.77,14.78,57.2,44.0
FR-00179,LL,139.78,103.94,231.28,435.4,377.17,99.49,49.745,46.07,67.28,158.34,304.02,13.9,37.9,28.7
FR-00335,LLLG,36.45,26.48,17.56,1166.55,1218.39,1095.8,50.143,35.87,5.55,26.83,1160.25,1.64,2.8,159.9
FR-00164,LL,98.14,231.41,130.6,338.54,100.81,583.0,49.661,50.87,71.08,153.38,340.78,2.33,33.7,45.4
FR-00213,LLG,43.08,231.26,33.98,559.51,100.41,840.71,49.885,125.02,79.93,102.77,500.21,6.33,65.9,31.7
FR-00067,LG,47.18,231.8,231.38,408.45,100.29,100.96,50.574,72.27,100.98,170.12,203.23,11.29,19.5,83.1
FR-00201,LLG,91.2,232.72,84.0,430.82,100.55,598.87,50.1,71.16,73.31,135.97,376.75,12.19,16.4,40.2
FR-00278,LLL,51.69,66.27,39.87,778.28,781.52,767.93,50.013,25.97,1.03,52.61,775.91,14.92,27.4,63.1
FR-00156,LL,83.36,230.16,102.12,469.1,100.11,327.94,49.605,66.13,66.52,138.55,299.05,11.02,81.8,94.0
FR-00255,LLL,53.39,47.57,25.26,1179.58,1174.44,1122.8,50.358,39.95,3.12,42.07,1158.94,2.05,41.3,27.4
FR-00116,LG,231.75,230.48,70.9,101.05,100.38,635.64,49.787,60.1,127.81,177.71,279.02,6.4,25.7,103.7
FR-00263,LLL,35.72,44.38,69.46,832.45,619.27,971.55,49.967,39.33,23.33,49.85,807.75,2.17,83.8,138.4
FR-00071,LG,230.03,230.59,89.74,100.23,100.61,372.6,50.05,51.08,94.93,183.45,191.15,14.27,84.1,73.5
FR-00087,LG,231.27,71.21,230.61,100.74,768.62,99.9,49.743,59.93,137.9,177.7,323.09,8.71,16.8,46.3
FR-00174,LL,231.0,71.6,107.63,100.16,512.18,392.29,49.71,68.93,70.09,136.74,334.88,4.47,26.1,20.3
FR-00237,LLG,231.12,70.69,63.29,101.21,828.45,420.57,50.126,89.91,84.07,121.7,450.08,3.84,90.0,85.3
FR-00329,LLLG,20.27,17.57,40.84,788.13,732.74,1002.33,50.209,55.71,19.17,26.23,841.07,14.39,46.0,45.7
FR-00105,LG,230.14,53.79,231.23,100.14,653.01,100.24,50.026,68.68,129.56,171.72,284.46,13.39,46.4,137.5
FR-00051,NONE,230.27,230.99,229.79,99.97,100.18,99.98,50.007,0.28,0.14,230.35,100.05,,,0.0
FR-00296,LLL,27.06,33.24,63.42,963.1,1017.3,994.61,49.75,53.79,2.88,41.24,991.67,13.83,50.6,153.9
FR-00355,LLLG,21.43,18.37,25.97,1320.76,1210.16,747.19,50.081,18.46,31.62,21.92,1092.7,8.18,7.0,32.2
FR-00019,NONE,230.02,230.28,230.61,100.33,100.15,99.75,49.937,0.13,0.32,230.3,100.08,,,0.0
FR-00298,LLL,34.83,26.69,63.42,1079.34,604.87,814.21,50.4,52.28,29.6,41.65,832.81,9.85,64.7,96.2
FR-00359,LLLG,27.43,36.77,31.07,1300.41,762.04,837.62,50.304,15.8,34.52,31.76,966.69,4.43,2.7,34.7
FR-00021,NONE,230.13,229.81,229.94,99.85,100.48,99.91,49.995,0.07,0.4,229.96,100.08,,,0.0
FR-00056,NONE,229.86,230.27,230.11,100.06,100.02,99.7,50.008,0.09,0.23,230.08,99.92,,,0.0
FR-00158,LL,141.01,82.62,229.43,427.67,585.94,99.87,49.679,51.92,73.09,151.02,371.16,1.93,10.5,125.6
FR-00311,LLLG,13.37,21.48,28.19,1219.44,1372.15,840.43,49.952,36.36,26.54,21.01,1144.01,1.21,74.9,73.0
FR-00322,LLLG,40.58,22.71,42.35,1394.74,977.63,712.38,49.722,35.51,35.64,35.22,1028.25,4.7,13.4,171.9
FR-00268,LLL,30.24,58.37,51.79,819.49,737.29,736.22,50.17,35.38,7.22,46.8,764.33,3.66,32.6,30.2
FR-00054,NONE,230.17,230.15,230.03,100.16,100.06,99.99,50.06,0.04,0.09,230.12,100.07,,,0.0
FR-00299,LLL,51.38,43.43,25.0,647.45,990.05,857.08,50.168,37.39,22.14,39.94,831.53,1.81,91.6,63.7
FR-00023,NONE,230.28,230.3,230.44,100.0,100.05,100.28,49.995,0.04,0.17,230.34,100.11,,,0.0
FR-00244,LLL,52.63,57.18,62.45,1084.08,768.38,645.14,49.94,8.75,30.21,57.42,832.54,1.8,34.1,81.9
FR-00142,LL,143.57,73.91,229.11,595.99,506.03,99.73,49.427,53.91,75.1,148.86,400.58,2.55,14.3,170.9
FR-00226,LLG,85.79,34.4,230.59,832.07,872.15,99.86,49.878,97.21,83.39,116.93,601.36,5.04,24.2,104.9
FR-00053,NONE,229.53,228.98,230.05,99.94,100.13,99.56,49.913,0.23,0.31,229.52,99.88,,,0.0
FR-00247,LLL,60.26,27.88,35.52,1177.84,1083.37,644.35,49.761,46.19,33.47,41.22,968.52,1.34,95.6,110.2
FR-00098,LG,115.21,230.1,229.57,329.08,100.69,99.37,49.176,39.88,86.57,191.63,176.38,13.72,42.1,170.2
FR-00146,LL,231.98,108.22,138.84,100.55,264.27,495.51,49.805,45.28,72.79,159.68,286.78,1.93,15.9,138.3
FR-00254,LLL,54.1,29.79,33.89,1199.25,893.89,688.98,49.314,37.8,29.32,39.26,927.37,4.8,52.3,172.7
FR-00027,NONE,230.52,229.94,230.02,100.15,100.09,100.39,49.971,0.16,0.18,230.16,100.21,,,0.0
FR-00123,LL,232.12,94.99,116.67,100.45,476.01,323.53,49.842,56.92,66.51,147.92,300.0,12.51,35.6,108.8
FR-00017,NONE,230.41,229.65,229.02,99.9,100.12,99.78,50.004,0.31,0.19,229.69,99.93,,,0.0
FR-00260,LLL,44.12,68.77,44.3,619.98,917.25,966.65,50.016,31.24,25.72,52.4,834.63,14.88,79.0,177.8
FR-00207,LLG,46.21,230.69,74.79,425.29,100.49,558.52,50.009,96.79,72.2,117.23,361.43,9.14,62.1,27.0
FR-00109,LG,230.65,52.21,233.03,100.57,636.38,101.27,50.526,69.64,127.76,171.96,279.41,2.92,48.3,60.8
FR-00325,LLLG,21.45,17.97,18.3,993.26,958.34,1263.63,49.719,11.51,17.9,19.24,1071.74,5.23,25.2,78.3
FR-00095,LG,231.07,231.1,86.43,100.54,100.15,698.35,49.852,52.74,133.03,182.87,299.68,7.94,92.9,154.3
FR-00236,LLG,230.85,72.22,68.39,100.65,540.44,717.34,50.304,86.44,77.77,123.82,452.81,13.2,10.5,95.5
FR-00114,LG,232.57,36.47,231.94,101.04,750.16,100.65,49.72,78.16,136.43,166.99,317.29,12.81,14.7,39.8
FR-00302,LLLG,26.21,18.86,14.84,1185.81,1364.62,840.55,49.832,31.23,25.64,19.97,1130.33,8.06,86.4,121.6
FR-00300,LLL,28.61,50.93,39.4,936.55,845.44,959.95,50.128,28.46,7.5,39.65,913.98,14.8,88.1,85.1
FR-00103,LG,92.65,232.11,231.86,796.91,100.37,100.67,50.237,50.06,139.56,185.54,332.65,1.7,61.7,44.3
FR-00350,LLLG,32.14,21.99,16.13,1409.9,1274.59,1050.15,49.852,37.23,15.64,23.42,1244.88,2.58,48.6,112.1
FR-00092,LG,231.85,80.28,232.28,101.04,630.4,100.81,50.011,55.76,127.24,181.47,277.42,11.78,31.7,39.0
FR-00228,LLG,230.26,33.38,53.63,100.12,526.54,556.41,49.969,117.73,74.61,105.76,394.36,6.68,61.5,37.4
FR-00303,LLLG,22.01,12.8,26.27,1212.39,1159.64,882.48,50.235,37.12,18.65,20.36,1084.84,11.08,54.8,53.2
FR-00160,LL,99.47,232.4,97.95,419.28,100.26,492.74,50.581,62.21,70.29,143.27,337.43,4.82,66.3,175.6
FR-00294,LLL,63.3,45.28,49.35,946.11,701.67,705.76,49.876,20.25,20.6,52.64,784.52,11.71,27.1,77.3
FR-00025,NONE,229.85,229.56,229.27,99.91,99.94,99.97,49.993,0.13,0.03,229.56,99.94,,,0.0
FR-00272,LLL,34.02,24.56,24.35,1192.25,897.89,1197.0,50.271,23.08,18.05,27.64,1095.71,14.25,25.6,99.1
FR-00331,LLLG,33.86,36.94,23.27,912.09,1200.0,1016.74,50.25,25.8,15.06,31.35,1042.94,1.75,28.8,91.8
FR-00127,LL,141.74,103.56,230.25,456.68,420.91,100.18,49.723,45.25,69.26,158.52,325.92,12.29,10.0,106.6
FR-00314,LLLG,36.04,42.07,13.03,1027.56,1298.37,1251.05,49.511,57.1,13.82,30.38,1192.33,0.24,44.3,28.3
FR-00079,LG,229.72,114.13,231.18,99.51,592.77,101.15,50.366,40.46,124.13,191.68,264.48,7.55,9.0,101.4
FR-00264,LLL,69.21,38.46,50.12,777.88,993.77,1019.93,49.381,31.59,16.4,52.59,930.53,4.21,52.9,23.4
FR-00173,LL,108.03,231.42,88.51,359.33,100.65,552.33,50.308,62.23,70.17,142.66,337.44,9.65,78.2,50.5
FR-00269,LLL,62.64,59.22,41.51,867.92,949.14,863.37,49.623,23.77,6.23,54.45,893.48,8.55,81.3,171.4
FR-00332,LLLG,20.58,21.5,36.02,1027.73,864.14,1023.11,50.145,38.37,11.07,26.03,971.66,13.37,50.5,20.8
FR-00062,LG,228.46,65.34,232.26,99.66,882.01,101.03,50.66,62.74,144.39,175.35,360.9,10.74,85.3,43.3
FR-00243,LLL,50.0,44.49,48.97,770.38,612.39,923.59,49.47,6.97,20.34,47.82,768.79,13.59,37.0,87.3
FR-00249,LLL,56.98,67.33,26.08,1130.96,888.39,1193.56,49.422,47.98,17.05,50.13,1070.97,12.35,68.4,102.8
FR-00222,LLG,230.72,86.89,36.28,100.58,683.14,489.63,50.387,95.58,76.3,117.96,424.45,6.05,67.5,105.2
FR-00070,LG,231.18,232.61,109.56,101.07,100.79,863.54,50.022,42.67,143.16,191.12,355.13,6.35,19.4,132.9
FR-00037,NONE,230.66,230.24,230.35,100.11,99.96,99.91,50.005,0.11,0.12,230.42,99.99,,,0.0
FR-00041,NONE,230.16,229.79,230.19,99.98,100.02,99.99,50.048,0.11,0.02,230.05,100.0,,,0.0
FR-00262,LLL,27.65,51.05,57.42,805.45,1061.79,964.75,50.405,39.06,14.68,45.37,943.99,0.59,86.4,136.3
FR-00012,NONE,229.92,230.56,228.93,100.1,99.95,99.76,50.012,0.38,0.18,229.8,99.93,,,0.0
FR-00288,LLL,40.19,47.88,65.33,724.69,611.71,704.72,49.467,27.76,10.09,51.13,680.37,4.42,29.6,90.9
FR-00232,LLG,232.33,35.08,77.8,100.75,850.51,794.68,49.509,101.9,82.69,115.07,581.98,12.33,51.2,34.2
FR-00245,LLL,65.42,69.2,47.86,810.4,742.64,752.86,50.174,21.32,5.43,60.83,768.63,12.39,72.3,168.0
FR-00128,LL,146.46,111.39,232.08,394.28,497.89,100.49,50.114,42.11,69.63,163.31,330.88,11.69,13.1,109.6
FR-00047,NONE,229.36,229.99,230.57,100.24,99.98,99.57,50.002,0.27,0.36,229.98,99.93,,,0.0
FR-00182,LLG,90.66,65.3,230.3,732.19,729.63,100.25,49.679,78.87,80.75,128.75,520.69,13.33,25.7,168.7
FR-00270,LLL,33.65,26.12,60.35,926.84,1083.42,824.15,49.958,50.72,14.67,40.04,944.8,1.32,84.3,161.5
FR-00129,LL,91.73,230.99,145.18,394.68,99.94,464.54,49.709,48.1,68.74,155.96,319.72,3.79,43.8,166.0
FR-00208,LLG,85.64,231.06,65.71,559.36,100.17,432.25,50.148,81.27,72.48,127.47,363.93,14.25,35.0,169.5
FR-00008,NONE,230.13,230.51,230.15,100.03,99.99,100.14,50.011,0.11,0.09,230.26,100.05,,,0.0
FR-00343,LLLG,32.41,37.14,22.68,973.35,1079.36,1347.25,49.873,26.21,18.88,30.74,1133.32,12.88,89.8,168.9
FR-00189,LLG,38.66,231.27,73.54,851.79,100.52,474.11,50.291,102.0,79.15,114.49,475.47,10.3,24.9,116.3
FR-00274,LLL,45.99,38.01,29.62,1138.62,825.74,984.48,50.046,21.78,15.99,37.87,982.95,9.22,46.9,154.4
FR-00266,LLL,59.14,53.5,45.54,1031.86,1080.7,688.53,50.318,13.63,26.26,52.73,933.7,13.98,96.6,176.1
FR-00009,NONE,229.81,229.76,230.06,100.05,100.15,100.0,49.965,0.08,0.09,229.88,100.07,,,0.0
FR-00203,LLG,76.81,25.53,232.74,664.56,490.39,101.41,50.303,108.37,75.78,111.69,418.79,12.81,48.5,22.3
FR-00028,NONE,229.8,230.03,229.51,99.99,100.09,100.13,49.969,0.12,0.08,229.78,100.07,,,0.0
FR-00316,LLLG,30.69,39.95,13.68,1183.26,1185.06,842.65,50.462,51.31,21.27,28.11,1070.32,14.26,8.6,168.6
FR-00059,NONE,229.91,229.55,230.7,99.84,100.12,100.06,49.992,0.28,0.16,230.06,100.01,,,0.0
FR-00065,LG,233.06,229.75,84.67,100.74,100.6,756.28,49.486,53.61,136.93,182.49,319.21,0.21,26.7,175.3
FR-00205,LLG,232.51,72.81,83.79,100.71,451.01,620.53,49.352,79.26,74.23,129.71,390.75,2.64,49.4,63.4
FR-00324,LLLG,25.19,13.97,33.69,910.07,1026.21,931.76,50.227,42.49,7.34,24.28,956.01,7.12,70.5,61.5
FR-00154,LL,231.57,110.94,95.37,100.92,505.73,437.62,49.568,58.65,71.01,145.96,348.09,1.89,6.8,80.8
FR-00049,NONE,230.24,229.87,230.56,100.16,100.04,99.74,49.955,0.15,0.24,230.23,99.98,,,0.0
FR-00338,LLLG,31.44,34.14,18.54,1202.09,725.64,1289.43,49.81,33.87,32.33,28.04,1072.39,0.47,40.3,23.6
FR-00032,NONE,230.16,229.96,230.92,99.84,100.09,100.05,50.026,0.25,0.15,230.34,100.0,,,0.0
FR-00002,NONE,230.16,230.31,229.86,100.02,100.17,100.13,50.05,0.11,0.09,230.11,100.11,,,0.0
FR-00172,LL,231.8,76.98,101.69,100.9,439.05,422.75,49.779,69.41,68.56,136.83,320.9,8.34,65.5,107.1
FR-00211,LLG,64.99,231.01,35.79,618.71,100.87,772.72,49.587,108.88,79.72,110.6,497.43,4.08,77.1,161.9
FR-00014,NONE,230.28,230.0,230.45,100.01,100.22,99.94,50.003,0.11,0.16,230.24,100.06,,,0.0
FR-00010,NONE,230.88,230.33,230.85,99.86,99.75,99.9,49.957,0.15,0.09,230.68,99.84,,,0.0
FR-00147,LL,130.27,230.14,87.04,499.05,100.99,258.89,49.191,54.3,74.3,149.15,286.31,8.23,3.7,30.3
FR-00218,LLG,230.45,38.87,30.33,100.28,577.32,837.73,50.571,130.72,80.15,99.88,505.11,4.97,37.0,50.8
FR-00333,LLLG,41.13,28.24,16.73,1200.32,1376.4,1121.15,50.106,43.31,11.66,28.7,1232.63,13.86,82.8,40.0
FR-00096,LG,230.78,230.53,100.39,100.57,99.91,513.59,49.915,46.38,115.77,187.23,238.02,3.01,71.7,89.4
FR-00035,NONE,229.69,229.56,229.84,100.06,99.79,100.15,50.075,0.06,0.21,229.7,100.0,,,0.0
FR-00097,LG,230.81,231.21,93.67,100.4,100.67,441.93,50.172,49.43,106.19,185.23,214.33,6.19,64.5,24.5
FR-00354,LLLG,31.56,19.78,39.92,805.81,1258.07,772.15,50.825,34.99,33.08,30.42,945.34,12.49,67.1,164.8
FR-00240,LLG,26.81,230.37,69.1,450.08,100.31,582.78,50.308,111.82,73.44,108.76,377.73,5.05,64.2,113.0
FR-00195,LLG,65.17,52.82,232.28,710.21,442.05,100.34,49.884,98.94,75.97,116.75,417.54,13.05,58.7,178.9
FR-00286,LLL,56.78,47.52,61.13,665.09,1139.28,1097.59,50.08,13.83,31.24,55.14,967.32,7.21,18.6,82.6
FR-00281,LLL,25.37,51.11,52.95,1155.74,868.84,895.94,49.508,41.2,18.72,43.14,973.51,8.15,58.4,75.2
FR-00169,LL,231.62,116.5,115.47,100.36,535.27,492.02,49.527,49.89,73.3,154.53,375.88,6.01,80.0,123.9
FR-00046,NONE,230.12,230.18,230.07,100.24,100.05,99.74,50.018,0.02,0.27,230.12,100.01,,,0.0
FR-00162,LL,133.46,232.11,108.99,371.25,100.66,369.25,50.357,46.73,64.1,158.19,280.39,5.12,59.6,95.4
FR-00118,LG,232.21,41.61,230.77,101.28,478.72,100.78,49.832,75.26,110.96,168.2,226.93,5.51,74.0,84.3
FR-00033,NONE,230.05,230.26,229.96,100.03,99.92,100.35,49.947,0.07,0.25,230.09,100.1,,,0.0
FR-00078,LG,85.92,232.3,232.58,307.38,100.77,100.89,50.048,53.2,81.15,183.6,169.68,5.42,14.2,162.9
FR-00283,LLL,61.1,46.01,46.7,969.32,701.3,840.35,49.966,19.18,16.21,51.27,836.99,0.82,73.1,37.3
FR-00134,LL,229.36,116.33,118.73,99.97,537.61,289.78,50.237,48.16,73.92,154.81,309.12,9.11,17.1,82.4
FR-00145,LL,104.56,229.9,70.91,423.29,100.38,331.69,49.939,70.14,64.79,135.12,285.12,12.29,46.3,61.0
FR-00157,LL,82.43,232.27,149.56,558.36,100.65,543.9,50.698,50.09,74.9,154.75,400.97,7.78,64.7,112.4
FR-00064,LG,109.48,230.49,229.04,774.21,100.6,99.53,49.566,42.28,138.38,189.67,324.78,5.2,96.7,178.0
FR-00083,LG,230.73,92.91,232.15,100.32,604.64,101.59,50.551,49.85,124.9,185.26,268.85,13.69,11.9,77.3
FR-00060,NONE,230.3,229.78,229.6,100.02,99.78,99.98,49.976,0.18,0.15,229.89,99.93,,,0.0
FR-00279,LLL,49.62,60.67,34.18,700.56,1070.5,989.45,49.98,29.03,23.87,48.16,920.17,13.71,94.9,177.2
FR-00144,LL,144.5,231.36,108.66,547.13,100.45,288.54,49.785,43.25,75.34,161.51,312.04,11.55,27.3,112.3
FR-00042,NONE,230.45,230.27,230.21,99.92,99.8,99.94,50.012,0.06,0.09,230.31,99.89,,,0.0
FR-00187,LLG,50.39,230.65,91.42,432.45,100.66,832.23,49.69,85.78,82.86,124.16,455.11,3.39,63.1,39.4
